County,Registered Voters,Ballots Cast,Voter Turnout
0009219,231,188,81.39 %
0009220,2840,2400,84.51 %
0009251,1343,1223,91.06 %
0009252,2146,1842,85.83 %
0009258,1901,1623,85.38 %
0009262,267,227,85.02 %
0009264,1999,1785,89.29 %
0009268,2037,1799,88.32 %
0009275,2049,1673,81.65 %
0009282,5,8,160.00 %
Total:,1019309,863964,84.76 %
