18th Congressional (Vote For 1),,,,,,,,
,,ANNA G. ESHOO,,,RISHI KUMAR,,,
County,Registered Voters,Election Day,Vote By Mail,Total Votes,Election Day,Vote By Mail,Total Votes,Total
0007025,3425,97,1415,1512,57,845,902,2414
0007038,321,6,129,135,7,113,120,255
0007041,3457,112,1275,1387,92,911,1003,2390
0007044,2098,56,816,872,46,536,582,1454
0007046,3396,108,1356,1464,74,897,971,2435
0007059,549,18,218,236,19,138,157,393
0007061,2225,49,994,1043,37,637,674,1717
0007062,2982,91,1159,1250,48,850,898,2148
0007079,2131,35,896,931,47,628,675,1606
0007081,1922,32,848,880,41,564,605,1485
0007089,1362,17,594,611,21,392,413,1024
0008003,2865,66,1279,1345,60,793,853,2198
0008011,492,9,235,244,4,127,131,375
0008012,16,0,8,8,1,6,7,15
0008013,109,2,36,38,2,29,31,69
0008030,1148,31,425,456,28,294,322,778
0008033,282,8,111,119,0,72,72,191
0008034,290,9,112,121,7,50,57,178
0008040,630,19,291,310,21,127,148,458
0008047,2162,51,942,993,48,576,624,1617
0008049,59,0,23,23,2,9,11,34
0008050,1860,54,773,827,32,441,473,1300
0008053,2999,74,1319,1393,50,721,771,2164
0008062,3284,99,1344,1443,65,778,843,2286
0008068,49,2,25,27,2,7,9,36
0008104,164,2,82,84,2,48,50,134
0008128,10,0,0,0,0,0,0,0
0008601,586,23,228,251,13,156,169,420
0008603,2632,62,1132,1194,59,737,796,1990
0008605,3541,87,1461,1548,84,949,1033,2581
0008610,1728,36,777,813,38,497,535,1348
0008619,815,17,390,407,8,230,238,645
0008627,1434,28,621,649,40,390,430,1079
0008629,2148,47,862,909,53,587,640,1549
0008630,2906,58,1216,1274,71,813,884,2158
0008645,3394,61,1474,1535,78,960,1038,2573
0008650,421,6,161,167,14,123,137,304
0008653,260,3,103,106,5,97,102,208
0008654,311,11,137,148,7,75,82,230
0008655,0,0,0,0,0,0,0,0
0008657,766,11,310,321,22,233,255,576
0008658,3874,80,1553,1633,85,1166,1251,2884
0008670,2848,79,1058,1137,66,655,721,1858
0008675,1559,60,623,683,39,414,453,1136
0008680,2189,38,984,1022,39,676,715,1737
0008683,3591,64,1545,1609,73,1068,1141,2750
0008687,3452,86,1370,1456,77,1019,1096,2552
0008697,3637,73,1506,1579,81,1044,1125,2704
0008832,2104,40,906,946,38,612,650,1596
0008834,1266,39,478,517,31,293,324,841
0008838,300,13,115,128,4,87,91,219
0008857,1646,23,706,729,30,534,564,1293
0008858,2376,39,1072,1111,46,693,739,1850
0008862,2560,54,1020,1074,55,765,820,1894
0008879,3228,52,1336,1388,68,1012,1080,2468
0008883,3404,81,1311,1392,89,1127,1216,2608
0008885,3137,55,1177,1232,69,1102,1171,2403
0008886,357,2,145,147,0,142,142,289
0008889,2680,37,1043,1080,58,933,991,2071
0008898,2737,44,1137,1181,43,934,977,2158
0008903,3460,46,1372,1418,54,1191,1245,2663
0008923,4,0,0,0,0,3,3,3
0008924,17,0,7,7,0,6,6,13
Total:,332297,7206,149838,157044,6618,91076,97694,254738
